Positive Score,Negative Score,Polarity Score,Subjectivity Score,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,Sentiment_rating
81,11,0.2856119666497024,0.559320799745328,15.102564102564102,11.37521222410866,8.21,15.102564102564102,134,1178,1.5093378607809846,12,4.880305602716469,Blackassign0001.txt
76,20,0.13879714463618575,0.43173412204234124,17.365853658536587,22.40168539325843,12.44,17.365853658536587,319,1424,1.7773876404494382,4,5.781601123595506,Blackassign0002.txt
39,14,0.10212194172868327,0.43447638503818264,18.385964912280702,29.293893129770993,13.28,18.385964912280702,307,1048,2.0410305343511452,13,6.38263358778626,Blackassign0003.txt
39,21,0.03886840560569374,0.4112352336928608,19.78846153846154,28.377065111758988,14.61,19.78846153846154,292,1029,1.977648202137998,5,6.280855199222546,Blackassign0004.txt
19,3,0.11705387205387208,0.5315095398428731,16.675,19.940029985007495,12.14,16.675,133,667,1.749625187406297,6,5.80359820089955,Blackassign0005.txt
71,15,0.1272265464484007,0.5659785652169756,20.651162790697676,24.71846846846847,13.98,20.651162790697676,439,1776,1.9138513513513513,6,6.31981981981982,Blackassign0006.txt
38,34,0.0444996258885148,0.465433234461012,17.830985915492956,20.932069510268562,12.05,17.830985915492956,265,1266,1.7472353870458135,1,5.613744075829384,Blackassign0007.txt
24,8,0.11554124381993235,0.45014962269060627,19.0,30.76923076923077,14.62,19.0,228,741,2.11336032388664,3,6.670715249662618,Blackassign0008.txt
34,14,0.07724337209631325,0.4193178281413576,18.877551020408163,30.810810810810814,13.76,18.877551020408163,285,925,2.095135135135135,3,6.635675675675675,Blackassign0009.txt
154,67,0.11028467447585097,0.4802430086253619,14.93723849372385,22.296918767507005,8.91,14.93723849372385,796,3570,1.7907563025210085,13,5.684033613445378,Blackassign0010.txt
58,20,0.10564003619331484,0.39589596196153587,20.895522388059703,27.071428571428573,14.19,20.895522388059703,379,1400,1.9228571428571428,3,6.060714285714286,Blackassign0011.txt
63,40,0.1323466354320784,0.4414226596188623,18.872093023255815,16.45101663585952,10.47,18.872093023255815,267,1623,1.676524953789279,2,5.860135551447936,Blackassign0012.txt
